	dHEP_520_A_NT	dHEP_550_A_NT	F_F_158_NC_NT	dHEP_549_A_NT	F_F_503_A_NT	dHEP_165_NC_NT	F_F_595_A_NT	F_F_523_A_NT	F_F_157_NC_NT	dHEP_518_A_NT	dHEP_164_NC_NT	dHEP_155_NC_NT	F_F_159_NC_NT	F_F_581_A_NT
Dlat	5.40815903093	5.46773686708	5.78042454317	5.26633704462	5.49934293555	5.91689134818	4.96407516802	5.2021127444	5.43850514728	5.31809211954	5.58869875931	5.91087348384	5.7011412469	5.64026334391
Sdhd	7.11060123433	7.2829201744	7.15630125665	7.30956555451	6.98575426262	7.24126827406	7.0410215188	6.94902194805	7.00158057779	7.12318495783	7.17950953777	7.20871813361	7.26222330869	7.14195213295
Ccnd2	3.49598667736	3.02039405381	3.66352068035	3.68804597794	3.65710030454	3.60606096217	3.38551753926	3.9639831063	3.45112092447	3.63800507586	3.27989610787	3.50477353663	3.4302873366	3.55990908356
Gpr107	5.02607035281	4.88723993052	4.79650475698	4.83901035648	4.93054647626	5.05591323205	4.97395876081	5.08306840347	4.9830594134	4.95963814863	5.054433561	4.91482713512	4.99743769543	4.97402272895
Slfn4	-0.330544301603	-0.88858892076	0.14297085669	0.316347331879	-0.447452101505	-1.40748974142	1.84035800293	2.03244597282	-1.31630995042	-2.87801744596	-0.198275631614	-0.561743393622	-2.59962728548	0.0273362273191
Lhx2	1.00588336298	0.371301215669	1.75778934157	1.00497339177	1.30795074092	1.5554348891	0.824323204473	1.31388297537	1.22633398799	1.45651068571	0.35933057536	1.54414777497	1.18965934382	0.805993420464
Gmpr	-0.527548837101	0.281103406697	0.668152129086	-1.31695470311	0.459953834363	0.707437982546	-1.67817713606	-0.106960145588	0.0479967467336	-0.0081575812955	0.721900654744	1.3546699761	0.357386789556	-0.0211699826738
Mid2	3.40939899236	3.59837012421	3.56762525313	3.30102285484	3.41281985877	3.2716419231	2.81723377969	3.58630197048	3.34696369318	3.35361077812	3.5292555768	3.61453710286	3.39643956612	3.44669847311
Trim25	6.50587416444	5.80567671579	6.65362920555	6.11767352452	6.32996620444	5.86702103977	6.13845101226	6.61435958811	6.41753669858	6.62701636538	5.9723569945	6.05218629904	5.9074765886	5.8002439877
Dgke	2.27980608496	2.33813435173	2.17716577657	2.30753616179	1.74006175356	1.41104497977	1.9266849221	2.68703639361	2.21825918124	2.00619771168	2.100412278	2.6198120449	2.17974387495	2.35555058505
Scpep1	4.69416546669	4.76361863845	5.43662150306	4.50458545298	4.74205469014	5.31790182773	4.60516849651	4.88563287797	5.60235940229	4.76786215935	5.16809805795	5.43011253172	5.68179348578	5.19796105659
Mnt	2.44369216992	2.26942160165	2.06925043741	2.25458728185	2.8463706557	2.47297272891	2.50062601673	3.4023679173	3.1309861114	3.04147318643	2.56096443653	1.93117089808	2.41768729982	2.79942076654
Itgb2	3.9284272229	4.16295745137	4.18041143608	4.01694603344	3.57384480089	3.5611485403	3.99380810109	4.9346106949	3.23469746093	3.69228213685	3.66050011008	3.93540789096	3.39643956612	4.16674076424
Hddc2	-0.688013509295	0.281103406697	-1.15781847114	-0.786439986415	-1.20989756394	0.101716921658	0.19629198186	-0.306268953811	-1.87800267182	-0.254210809208	0.184243868801	-0.565570173163	-1.09327461945	-0.117385297933
Tpd52l1	2.14338688673	1.59369363701	1.6865306584	2.19962082263	1.77361431327	1.76797952448	2.07076109978	1.50869915236	1.90859369007	2.46692730165	1.79990316675	2.36727001288	2.38353907741	1.9904179916
Pemt	7.36055349884	7.24763211606	7.85111939733	7.37846694026	7.132783236	7.79520387916	6.98360096172	7.21467705404	7.36087970202	7.31773247974	7.62638475265	7.671209552	7.67865496446	7.10445179215
Cdh1	3.55991400415	4.54849421758	4.84831631503	4.7586730017	5.23605782244	4.76054931901	4.25256020151	4.65137054447	5.05509780311	3.87546323499	4.57656129158	4.38286686794	4.69157830411	5.54721523819
Cdh4	0.952444104018	0.684459100929	1.11067036479	0.557514414803	0.459953834363	0.62254908496	0.361351228131	1.0473680008	0.844463352648	1.45651068571	-0.682489600335	-0.0859026152814	0.727755239501	0.579222558617
Bcl6b	1.96599063586	1.34927490934	1.72259991311	1.49040021894	1.4391952742	-0.51495443879	1.69105667361	1.73325941038	0.323631189347	1.27872356649	-0.0150649394219	0.807182180802	0.554423636615	2.22430605178
Arvcf	3.75200065552	4.46896308386	4.33869036151	4.10063530926	3.98287046572	4.43545176207	3.52702420057	4.06998026318	4.23761325961	4.05182060671	4.61046533118	4.56906749748	4.17810125272	4.09979192471
Comt	9.33021122025	9.29454945717	9.10896168217	9.09491403079	9.4627206388	9.46039678603	9.63500193955	9.38318682155	9.25810410215	9.05972202351	9.55620735771	9.32272838218	9.26331526773	9.23955686018
Rtca	3.03830484067	2.9922430135	2.99008022397	2.91399973173	2.90809964545	3.01278319324	3.24465500342	2.81536049059	2.6948869966	3.06908541764	3.04382874963	3.0055957392	3.02774078151	3.08532963863
Dbt	6.51626993029	6.14469021808	6.25696284505	6.43123814648	6.49996951321	6.55185233191	6.23604187312	6.0042596787	6.67120441753	6.74512603517	6.44982110931	6.53928436305	6.52486613006	6.20392081159
Dazap2	6.4345861327	6.62095340958	6.79161034625	6.48825175237	6.43592459712	6.76364988981	6.45738965461	6.28036236727	6.55745924266	6.40259054689	6.74031722931	6.7439711004	6.7247749034	6.51397994766
Mcts1	3.98274686418	3.89296113448	3.95639709772	4.00096032927	3.77775404363	3.97475974678	3.8627042962	3.97501715658	3.99482608771	3.92918681085	4.04703118167	4.00961999576	4.16222611369	3.97591842191
Trappc10	5.44490197715	5.44973509112	5.37285387408	5.48034655428	5.5413421612	5.30437312493	5.41281739616	5.4176131635	5.46006512572	5.54888483397	5.45525499536	5.21700825344	5.15085132383	5.43296344771
Ccm2	3.98274686418	3.98868519408	3.57750676465	4.27134351017	3.919385453	3.54969851955	4.2940049198	3.9472721661	3.82797522986	3.99544465538	3.87029249464	3.78387480731	3.93352543989	4.37557288849
Tbrg4	4.56214555145	4.37931212152	4.42440906186	4.48362887622	4.70240390804	4.25432362533	4.6340200989	4.46162121355	4.51266501374	4.49945948551	4.46716189413	4.37988532197	4.47945339341	4.38828665345
Tmprss2	2.01893951581	1.59369363701	1.95260551855	2.28130462022	1.48041793692	2.11731377671	1.99738791345	1.97226654556	2.30786387349	2.14240209528	1.60508698976	1.86162996482	2.03325778648	1.59448931527
Mx1	1.1656299604	0.909463099324	1.02775979461	0.561879607364	0.811582163466	1.06744098823	1.31257607572	2.48419418885	0.508256469311	0.648842100199	0.117572829156	0.495391237459	0.38457537223	1.12519092772
Ndufa9	6.45634482811	6.47347577205	6.23995338173	6.48681766175	6.27830775537	6.50222515119	6.45396553503	6.13298478289	6.24404877589	6.39169709228	6.43033316364	6.43392081824	6.48817706247	6.37502044925
Lck	-0.13162016077	-1.50316790225	0.592203275853	-0.238952191112	-0.277011759803	-0.721405316257	-0.94121154189	0.430696640355	-0.11246792546	0.392380348288	-1.60002744014	0.807182180802	-0.142184219935	-0.451804337004
Galnt1	5.84199111475	5.96805569372	5.75016466147	6.04547622073	5.91844833375	5.74431804825	5.90092924454	5.93390401106	5.80709650018	5.79610253434	5.87119615583	5.9532775662	5.90296346175	5.92776238375
Mkrn2	3.95319247806	3.84252809665	4.05050014265	3.68174227561	3.51385955176	3.94237718669	3.6236543532	3.58147292155	3.60999809901	3.78019403679	3.64899644231	3.75127175308	3.96873193021	3.68384473101
Pparg	4.28791873074	4.43804276655	3.50687122205	3.33966878274	5.04663280767	3.37905486552	3.71795190067	5.08477568985	2.95994057007	3.88326160555	2.86667217896	3.73609908274	3.08198382629	4.58113976161
Raf1	6.51536040625	6.63961991243	6.82928530437	6.64117907857	6.87721806292	6.58094185822	6.71566614095	6.38259522017	6.67778281338	6.50682309533	6.67313614561	6.71505889746	6.52353394731	6.58665665689
Sept1	0.0825046445826	0.184888091438	0.0266060999984	-0.786439986415	-0.145767226525	-0.962413415761	-1.38867051886	-0.668839033196	-0.499491048569	-0.259696348291	-1.31052082295	0.807182180802	-0.356309025287	0.0690278262977
Pdgfb	0.650788404157	1.05482755087	-1.15781847114	-0.238952191112	1.21331386678	0.436135960729	1.56128879864	1.59705502678	0.754265543677	0.477269245875	0.35933057536	1.4044230113	0.129117801883	2.10144930399
Acvrl1	2.64237616434	2.97795878749	2.45956550727	2.77050813814	2.27318532276	2.0859496058	2.96567905372	3.17246322079	1.82243704632	2.16816519134	2.05022652083	2.55520296348	2.60716509869	3.11739084786
Grasp	0.433977015084	0.684459100929	0.668152129086	0.722573661073	0.188651812546	-0.0295276116198	-0.204245947724	-0.203175460847	0.192386656069	-0.128451815013	0.721900654744	-0.230292524617	0.209288150567	0.382185711557
Acvr1b	4.13441673323	4.09177868705	3.60675158442	3.7467399722	3.47532906025	3.57250840246	3.68717323912	4.01298500678	3.57485629289	4.11285781967	3.55647704554	3.53858824963	3.44691801115	3.96421292125
Tom1l2	5.51170501952	5.30203855323	5.15033850398	5.04008894541	5.61473144614	5.54442968321	5.1722944959	5.62452093999	5.82595625577	5.95703565442	5.27274660864	5.23317161859	5.65353974209	5.42367659349
Zfp385a	1.49131019015	1.89676270464	3.30756241383	2.02091493564	3.18241985883	2.11731377671	1.59484135835	2.65994273273	2.95994057007	2.2668494662	1.5698975613	1.5878691524	1.94234929028	2.35555058505
